song,artist,labels
Halo,Beyonce,?
Sweet Dreams,Beyonce,?
Diva,Beyonce,?
People Are Crazy,Billy Currington,?
Boom Boom Pow,Black Eyed Peas,Interscope Records
I Gotta Feeling,Black Eyed Peas,Interscope Records
Love Drunk,Boys Like Girls,Columbia
Then,Brad Paisley,?
If U Seek Amy,Britney Spears,Jive
Circus,Britney Spears,Jive
3,Britney Spears,Jive
Good Girls Go Bad,Cobra Starship feat. Leighton Meester,Decaydance Records
Fallin' For You,Colbie Caillat,Universal Republic Records
No Surprise,Daughtry,Epic
Best I Ever Had,Drake,Young Money Entertainment
Forever,"Drake feat. Kanye West, Lil Wayne and Eminem",Smash Records
Crack A Bottle,"Eminem, Dr. Dre and 50 Cent",?
Throw It In The Bag,Fabolous feat. The-Dream,Def Jam Recordings
Right Round,Flo Rida,Wea Music
Sugar,Flo Rida feat. Wynter,Warner Music
Never Say Never,Fray,Epic
You Found Me,Fray,Epic
21 Guns,Green Day,Reprise Records
Replay,Iyaz,Reprise Records
Big Green Tractor,Jason Aldean,?
Whatcha Say,Jason DeRulo,Warner Bros. Records
Down,Jay Sean feat. Lil Wayne,Cash Money Records
Empire State Of Mind,Jay-Z + Alicia Keys,?
Run This Town,"Jay-Z, Rihanna and Kanye West",?
Birthday Sex,Jeremih,Def Jam Recordings
Pop Champagne,Jim Jones and Ron Browz feat. Juelz Santana,?
Green Light,John Legend feat. Andre 3000,Not On Label
Battlefield,Jordin Sparks,Jive
One Time,Justin Bieber,Mercury
Heartless,Kanye West,Roc-A-Fella Records
Waking Up In Vegas,Katy Perry,Capitol Records
Already Gone,Kelly Clarkson,RCA
I Do Not Hook Up,Kelly Clarkson,RCA
My Life Would Suck Without You,Kelly Clarkson,RCA
Knock You Down,Keri Hilson feat. Kanye West and Ne-Yo,Not On Label
Day 'n' Nite,Kid Cudi,Pretty Cady Records
Use Somebody,Kings Of Leon,RCA
Goodbye,Kristinia DeBarge,Island Def Jam Music Group
I Run To You,Lady Antebellum,Parlophone
Paparazzi,Lady Gaga,Interscope Records
Poker Face,Lady Gaga,Interscope Records
Lovegame,Lady Gaga,Streamline Records
Just Dance,Lady Gaga feat. Colby O'Donis,Interscope Records
New Divide,Linkin Park,Warner Music Denmark
Obsessed,Mariah Carey,Island Records
Break Up,Mario feat. Gucci Mane and Sean Garrett,?
Pretty Wings,Maxwell,Columbia
Say Hey (I Love You),Michael Franti and Spearhead feat. Cherine Anderson,Anti-
The Climb,Miley Cyrus,Universal Music
Party in the U.S.A.,Miley Cyrus,Hollywood Records
Mad,Ne-Yo,?
Gotta Be Somebody,Nickelback,Roadrunner Records
If Today Was Your Last Day,Nickelback,Roadrunner Records
Fireflies,Owl City,Universal Republic Records
Sober,Pink,?
Please Don't Leave Me,Pink,?
Hotel Room Service,Pitbull,Sony Music
I Know You Want Me (Calle Ocho),Pitbull,Jolly Roger
I Hate This Part,Pussycat Dolls,Interscope Records
Her Diamonds,Rob Thomas,Atlantic
Fire Burning,Sean Kingston,RCA
She Wolf,Shakira,Epic
Second Chance,Shinedown,Atlantic
Dead And Gone,T.I. feat. Justin Timberlake,?
White Horse,Taylor Swift,Big Machine Records
You Belong With Me,Taylor Swift,Big Machine Records
Rockin' That Thang,The-Dream,?
Untouched,Veronicas,Sire
Every Girl,Young Money,Cash Money Records
Whatever It Is,Zac Brown Band,?
Chicken Fried,Zac Brown Band,Home Grown Music
My First Kiss,3OH!3 feat. Ke$ha,?
Whataya Want From Me,Adam Lambert,19 Recordings
Nothin' On You,B.o.B feat. Bruno Mars,?
Airplanes,B.o.B feat. Hayley Williams,?
Magic,B.o.B feat. Rivers Cuomo,?
If I Die Young,Band Perry,?
Imma Be,Black Eyed Peas,Not On Label (Black Eyed Peas)
Meet Me Halfway,Black Eyed Peas,Interscope Records
Rock That Body,Black Eyed Peas,Interscope Records
Two Is Better Than One,Boys Like Girls feat. Taylor Swift,Columbia
Just The Way You Are,Bruno Mars,WARNER Music Benelux
Teach Me How To Dougie,Cali Swag District,Not On Label
Undo It,Carrie Underwood,?
Deuces,Chris Brown feat. Tyga and Kevin McCall,Not On Label
Life After You,Daughtry,?
Sexy Chick,David Guetta feat. Akon,Positiva
All I Do Is Win,"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg and Rick Ross",Not On Label
Over,Drake,Young Money Entertainment
Find Your Love,Drake,Young Money Entertainment
Not Afraid,Eminem,Aftermath Entertainment
Love The Way You Lie,Eminem feat. Rihanna,Universal Music
I Like It,Enrique Iglesias feat. Pitbull,Universal
Like A G6,Far East Movement feat. The Cataracs and Dev,Not On Label
Club Can't Handle Me,Flo Rida feat. David Guetta,Hollywood Records
Ridin' Solo,Jason Derulo,Warner Bros. Records
In My Head,Jason Derulo,Warner Dance Labels
Do You Remember,Jay Sean feat. Sean Paul and Lil Jon,Universal Island Records
Empire State of Mind,Jay-Z and Alicia Keys,?
Young Forever,Jay-Z and Mr. Hudson,?
"Lover, Lover",Jerrod Niemann,?
Baby,Justin Bieber feat. Ludacris,Island Def Jam Music Group
Teenage Dream,Katy Perry,Capitol Records
California Gurls,Katy Perry feat. Snoop Dogg,Capitol Records
TiK ToK,Ke$ha,?
Your Love Is My Drug,Ke$ha,?
Take It Off,Ke$ha,?
Blah Blah Blah,Ke$ha feat. 3OH!3,?
Live Like We're Dying,Kris Allen,?
Bulletproof,La Roux,Cherrytree Records
American Honey,Lady Antebellum,Parlophone
Need You Now,Lady Antebellum,EMI
Alejandro,Lady Gaga,Streamline Records
Bad Romance,Lady Gaga,Interscope Records
Telephone,Lady Gaga feat. Beyonce,Streamline Records
Right Above It,Lil Wayne feat. Drake,Cash Money Records
How Low,Ludacris,Disturbing Tha Peace
My Chick Bad,Ludacris feat. Nicki Minaj,?
Misery,Maroon 5,A&M Octone Records
Haven't Met You Yet,Michael Buble,?
Cooler Than Me,Mike Posner,J Records
The House That Built Me,Miranda Lambert,?
Just A Dream,Nelly,Derrty Ent.
Animal,Neon Trees,Mercury
Tie Me Down,New Boyz feat. Ray J,Shotty Records
Your Love,Nicki Minaj,?
Secrets,OneRepublic,Mosley Music Group
All The Right Moves,OneRepublic,Mosley Music Group
According To You,Orianthi,Geffen Records
The Only Exception,Paramore,Warner Music
Only Girl (In The World),Rihanna,Def Jam Recordings
Rude Boy,Rihanna,Def Jam Recordings
Hard,Rihanna feat. Jeezy,Mercury
King Of Anything,Sara Bareilles,Columbia
Breakeven,Script,Phonogenic
Eenie Meenie,Sean Kingston and Justin Bieber,?
Naturally,Selena Gomez and The Scene,Hollywood Records
Impossible,Shontelle,Universal Motown
Stuck Like Glue,Sugarland,Mercury
Dynamite,Taio Cruz,Mercury
Break Your Heart,Taio Cruz feat. Ludacris,Island Records
Today Was A Fairytale,Taylor Swift,?
Mine,Taylor Swift,Big Machine Records
Say Something,Timbaland feat. Drake,Interscope Records
Carry Out,Timbaland feat. Justin Timberlake,Blackground Records
"Hey, Soul Sister",Train,Columbia
Billionaire,Travie McCoy feat. Bruno Mars,?
Say Aah,Trey Songz feat. Fabolous,?
Bottoms Up,Trey Songz feat. Nicki Minaj,Atlantic
Smile,Uncle Kraker,?
There Goes My Baby,Usher,?
DJ Got Us Fallin' in Love,Usher feat. Pitbull,Almighty Records
OMG,Usher feat. will.i.am,Jive
Bedrock,Young Money feat. Lloyd,Not On Label
Someone Like You,Adele,Columbia
Rolling In The Deep,Adele,XL Recordings
What The Hell,Avril Lavigne,Sony Music
Lighters,Bad Meets Evil feat. Bruno Mars,Not On Label
Best Thing I Never Had,Beyonce,?
My Last,Big Sean feat. Chris Brown,G.O.O.D. MUSIC
Just Can't Get Enough,Black Eyed Peas,Interscope Records
The Time (Dirty Bit),Black Eyed Peas,Interscope Records
God Gave Me You,Blake Shelton,?
Honey Bee,Blake Shelton,Warner Bros. Records
Holocene,Bon Iver,4AD
Remind Me,Brad Paisley With Carrie Underwood,?
Hold It Against Me,Britney Spears,Jive
Till The World Ends,Britney Spears,Jive
I Wanna Go,Britney Spears,Not On Label (Britney Spears)
Grenade,Bruno Mars,Warner Music Denmark
The Lazy Song,Bruno Mars,Elektra
F**K You (Forget You),Cee Lo Green,?
She Ain't You,Chris Brown,Jive
Yeah 3x,Chris Brown,Jive
Look At Me Now,Chris Brown feat. Lil Wayne and Busta Rhymes,Not On Label (Chris Brown (4))
Jar Of Hearts,Christina Perri,Atlantic Recording Corporation
You Make Me Feel...,Cobra Starship feat. Sabi,Decaydance Records
Where Them Girls At,David Guetta feat. Flo Rida and Nicki Minaj,Virgin
Without You,David Guetta feat. Usher,Virgin
In The Dark,Dev,Not On Label
Coming Home,Diddy - Dirty Money feat. Skylar Grey,Not On Label
I'm On One,"DJ Khaled feat. Drake, Rick Ross and Lil Wayne",?
I Need A Doctor,Dr. Dre feat. Eminem and Skylar Grey,?
Headlines,Drake,?
Stereo Love,Edward Maya and Vika Jigulina,?
Crazy Girl,Eli Young Band,?
Tonight (I'm Lovin' You),Enrique Iglesias feat. Ludacris and DJ Frank E,Universal Republic Records
Pumped Up Kicks,Foster The People,Startime International
Stereo Hearts,Gym Class Heroes feat. Adam Levine,Not On Label
Tonight Tonight,Hot Chelle Rae,Jive
Barefoot Blue Jean Night,Jake Owen,RCA
Dirt Road Anthem,Jason Aldean,?
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,?
Don't Wanna Go Home,Jason Derulo,Warner Music
On The Floor,Jennifer Lopez feat. Pitbull,Not On Label (Jennifer Lopez)
Down On Me,Jeremih feat. 50 Cent,Universal Music
Price Tag,Jessie J feat. B.O.B,Universal Music
All Of The Lights,Kanye West,Roc-A-Fella Records
Last Friday Night (T.G.I.F.),Katy Perry,Capitol Records
Firework,Katy Perry,Capitol Records
E.T.,Katy Perry feat. Kanye West,EMI
We R Who We R,Ke$Ha,?
Blow,Ke$Ha,?
Motivation,Kelly Rowland feat. Lil Wayne,Universal Motown
You And Tequila,Kenny Chesney feat. Grace Potter,?
Pretty Girl Rock,Keri Hilson,Mosley Music Group
Just A Kiss,Lady Antebellum,Capitol Records Nashville
The Edge Of Glory,Lady Gaga,Interscope Records
Born This Way,Lady Gaga,Streamline Records
You And I,Lady Gaga,Not On Label (Lady Gaga)
How To Love,Lil Wayne,Universal Music
6 Foot 7 Foot,Lil Wayne feat. Cory Gunz,Cash Money Records
She Will,Lil Wayne feat. Drake,Universal Music
Sexy And I Know It,LMFAO,Polydor
Party Rock Anthem,LMFAO feat. Lauren Bennett and GoonRock,Interscope Records
Country Girl (Shake It For Me),Luke Bryan,?
The Show Goes On,Lupe Fiasco,Atlantic
Moves Like Jagger,Maroon 5 feat. Christina Aguilera,A&M Octone Records
Sure Thing,Miguel,?
Please Don't Go,Mike Posner,J Records
The Cave,Mumford & Sons,Glassnote
Backseat,New Boyz feat. The Cataracs and Dev,Warner Bros. Records
Super Bass,Nicki Minaj,Cash Money Records
Moment 4 Life,Nicki Minaj feat. Drake,Cash Money Records
Good Life,OneRepublic,Mosley Music Group
Raise Your Glass,P!Nk,?
Give Me Everything,"Pitbull feat. Ne-Yo, Afrojack and Nayer",Polo Grounds Music
Hey Baby (Drop It To The Floor),Pitbull feat. T-Pain,Polo Grounds Music
S&M,Rihanna,Def Jam Recordings
Cheers (Drink To That),Rihanna,?
We Found Love,Rihanna feat. Calvin Harris,Not On Label (Rihanna)
What's My Name?,Rihanna feat. Drake,Universal
Take A Back Road,Rodney Atkins,Curb Records
For The First Time,Script,RCA
Who Says,Selena Gomez and The Scene,Mercury
Back To December,Taylor Swift,Universal Music
Are You Gonna Kiss Me Or Not,Thompson Square,?
Written In The Stars,Tinie Tempah feat. Eric Turner,Emi
More,Usher,LaFace Records
No Hands,Waka Flocka Flame feat. Roscoe Dash and Wale,Photo Finish Records
Black And Yellow,Wiz Khalifa,Rostrum Records
Roll Up,Wiz Khalifa,Atlantic
Colder Weather,Zac Brown Band,?
Knee Deep,Zac Brown Band feat. Jimmy Buffett,?
No Lie,2 Chainz feat. Drake,Def Jam Recordings
Set Fire To The Rain,Adele,XL Recordings
Rumour Has It,Adele,Not On Label (Adele (3))
Too Close,Alex Clare,Island Records
So Good,B.o.B,?
Dance (A$$),Big Sean feat. Nicki Minaj,G.O.O.D. MUSIC
It Will Rain,Bruno Mars,Elektra
Cashin' Out,Ca$h Out,?
Feel So Close,Calvin Harris,Fly Eye
Let's Go,Calvin Harris feat. Ne-Yo,Columbia
Call Me Maybe,Carly Rae Jepsen,Interscope Records
Blown Away,Carrie Underwood,19 Recordings
Good Girl,Carrie Underwood,Sony Music
Want U Back,Cher Lloyd,Syco Music
Don't Wake Me Up,Chris Brown,RCA
Turn Up The Music,Chris Brown,RCA
A Thousand Years,Christina Perri,?
Paradise,Coldplay,Parlophone
Turn Me On,David Guetta feat. Nicki Minaj,Capitol Records
Titanium,David Guetta feat. Sia,EMI Music France
Give Your Heart A Break,Demi Lovato,Hollywood Records
The Motto,Drake feat. Lil Wayne,Cash Money Records
Take Care,Drake feat. Rihanna,Young Money Entertainment
Even If It Breaks Your Heart,Eli Young Band,?
Lights,Ellie Goulding,Universal Music
Springsteen,Eric Church,?
Good Feeling,Flo Rida,Poe Boy Entertainment
Whistle,Flo Rida,Atlantic
Wild Ones,Flo Rida feat. Sia,Not On Label (Flo Rida)
Thinkin Bout You,Frank Ocean,Universal Music
Some Nights,fun.,?
We Are Young,fun. feat. Janelle Monae,?
Not Over You,Gavin DeGraw,?
Somebody That I Used To Know,Gotye feat. Kimbra,Universal Republic Records
Ass Back Home,Gym Class Heroes feat. Neon Hitch,Fueled By Ramen
We Run The Night,Havana Brown feat. Pitbull,Universal Music Australia
Wanted,Hunter Hayes,Atlantic
It's Time,Imagine Dragons,KIDinaKorner
Work Out,J. Cole,?
Fly Over States,Jason Aldean,?
Take A Little Ride,Jason Aldean,Broken Bow Records
I Won't Give Up,Jason Mraz,?
Ni**As In Paris,Jay Z and Kanye West,?
Domino,Jessie J,Universal Republic Records
Boyfriend,Justin Bieber,Island Records
As Long as You Love Me,Justin Bieber feat. Big Sean,Island Records
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",?
Brokenhearted,Karmin,Epic
The One That Got Away,Katy Perry,EMI
Wide Awake,Katy Perry,Virgin
Part Of Me,Katy Perry,Not On Label (Katy Perry)
Die Young,Ke$ha,?
Stronger (What Doesn't Kill You),Kelly Clarkson,19 Recordings
Come Over,Kenny Chesney,?
Somethin' 'Bout A Truck,Kip Moore,?
Drank In My Cup,Kirko Bangz,?
Hard To Love,Lee Brice,?
Burn It Down,Linkin Park,Warner Music Denmark
Pontoon,Little Big Town,Capitol Records
I Don't Want This Night To End,Luke Bryan,?
Drunk On You,Luke Bryan,?
Ho Hey,Lumineers,Universal
One More Night,Maroon 5,Universal Music
Payphone,Maroon 5 feat. Wiz Khalifa,A&M Octone Records
Adorn,Miguel,Sony Music
Everybody Talks,Neon Trees,Mercury
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,?
Pound The Alarm,Nicki Minaj,Universal Republic Records
Starships,Nicki Minaj,Cash Money Records
What Makes You Beautiful,One Direction,Sony Music
Good Time,Owl City and Carly Rae Jepsen,?
Blow Me (One Last Kiss),P!nk,?
Home,Phillip Phillips,19 Recordings
Back In Time,Pitbull,J Records
International Love,Pitbull feat. Chris Brown,Not On Label
Gangnam Style,Psy,Universal Music
Diamonds,Rihanna,Def Jam Recordings
Where Have You Been,Rihanna,Def Jam Recordings
You Da One,Rihanna,Def Jam Recordings
Birthday Cake,Rihanna feat. Chris Brown,Not On Label (Rihanna Self-released)
Love You Like A Love Song,Selena Gomez and The Scene,Hollywood Records
"Young, Wild and Free",Snoop Dogg and Wiz Khalifa feat. Bruno Mars,?
We Are Never Ever Getting Back Together,Taylor Swift,Big Machine Records
Lonely Boy,The Black Keys,Nonesuch
Red Solo Cup,Toby Keith,?
5 O'Clock,T-Pain feat. Wiz Khalifa and Lily Allen,?
Drive By,Train,Columbia
50 Ways To Say Goodbye,Train,Columbia
Heart Attack,Trey Songz,Atlantic
Rack City,Tyga,Island Records
Climax,Usher,Sony Music
Scream,Usher,RCA
Glad You Came,Wanted,Island Records Group
"Work Hard, Play Hard",Wiz Khalifa,Atlantic
I'm Different,2 Chainz,?
Bugatti,Ace Hood feat. Future and Rick Ross,We The Best Music Group
Girl On Fire,Alicia Keys feat. Nicki Minaj,Not On Label
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,?
The Way,Ariana Grande feat. Mac Miller,Republic Records
Wake Me Up!,Avicii,?
Sail,AWOLNATION,EMI
Harlem Shake,Baauer,Jeffree's
Sure Be Cool If You Did,Blake Shelton,?
Boys 'Round Here,Blake Shelton feat. Pistol Annies and Friends,?
When I Was Your Man,Bruno Mars,Atlantic
Locked Out Of Heaven,Bruno Mars,Atlantic
Treasure,Bruno Mars,Atlantic
I Need Your Love,Calvin Harris feat. Ellie Goulding,Sony Music
Sweet Nothing,Calvin Harris feat. Florence Welch,Not On Label
Safe And Sound,Capital Cities,Capitol Records
Body Party,Ciara,Epic
Get Lucky,Daft Punk feat. Pharrell Williams,Columbia
Wagon Wheel,Darius Rucker,?
Heart Attack,Demi Lovato,Hollywood Records
Started From The Bottom,Drake,Not On Label (Drake)
"Hold On, We're Going Home",Drake feat. Majid Jordan,Cash Money Records
The A Team,Ed Sheeran,Warner Music UK Ltd.
Next To Me,Emeli Sande,Capitol Records
Berzerk,Eminem,Aftermath Entertainment
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Island Def Jam Music Group
I Cry,Flo Rida,Atlantic
Get Your Shine On,Florida Georgia Line,?
Cruise,Florida Georgia Line feat. Nelly,Universal
Carry On,fun.,?
I Want Crazy,Hunter Hayes,Atlantic
I Love It,Icona Pop feat. Charli XCX,Record Company TEN
Radioactive,Imagine Dragons,Interscope Records
Demons,Imagine Dragons,Interscope Records
Power Trip,J. Cole feat. Miguel,?
The Other Side,Jason Derulo,Warner Bros. Records
Holy Grail,Jay Z feat. Justin Timberlake,?
Beauty And A Beat,Justin Bieber feat. Nicki Minaj,Raymond Braun Media Group
Mirrors,Justin Timberlake,RCA
Suit and Tie,Justin Timberlake feat. Jay Z,Sony Music
Roar,Katy Perry,Universal Music
Catch My Breath,Kelly Clarkson,19 Recordings
Swimming Pools (Drank),Kendrick Lamar,Not On Label (Kendrick Lamar)
Downtown,Lady Antebellum,EMI
Applause,Lady Gaga,Streamline Records
Summertime Sadness,Lana Del Rey and Cedric Gervais,?
Love Me,Lil Wayne feat. Drake and Future,Cash Money Records
Royals,Lorde,Universal Music New Zealand
Crash My Party,Luke Bryan,Capitol Records Nashville
That's My Kind Of Night,Luke Bryan,?
Same Love,Macklemore and Ryan Lewis feat. Mary Lambert,?
Can't Hold Us,Macklemore and Ryan Lewis feat. Ray Dalton,?
Thrift Shop,Macklemore and Ryan Lewis feat. Wanz,?
Daylight,Maroon 5,A&M Octone Records
Love Somebody,Maroon 5,Universal Music
Wrecking Ball,Miley Cyrus,Not On Label (Miley Cyrus)
We Can't Stop,Miley Cyrus,Sony Music
Mama's Broken Heart,Miranda Lambert,?
I Will Wait,Mumford and Sons,Gentlemen Of The Road
Little Talks,Of Monsters And Men,Universal Republic Records
Troublemaker,Olly Murs feat. Flo Rida,Sony Music
Best Song Ever,One Direction,Syco Music
Counting Stars,OneRepublic,Universal Music
Try,P!nk,?
Just Give Me A Reason,P!nk feat. Nate Ruess,?
Still Into You,Paramore,Fueled By Ramen
Let Her Go,Passenger,Nettwerk
"Gone, Gone, Gone",Phillip Phillips,?
Feel This Moment,Pitbull feat. Christina Aguilera,Polo Grounds Music
Runnin' Outta Moonlight,Randy Houser,?
Pour It Up,Rihanna,Def Jam Recordings
Stay,Rihanna feat. Mikky Ekko,Not On Label
Blurred Lines,Robin Thicke feat. T.I. and Pharrell,Star Trak Entertainment
U.O.E.N.O.,Rocko feat. Future and Rick Ross,?
Brave,Sara Bareilles,Epic
Hall Of Fame,Script feat. will.i.am,Sony Music
Come and Get It,Selena Gomez,Hollywood Records
Don't You Worry Child,Swedish House Mafia feat. John Martin,EMI
I Knew You Were Trouble,Taylor Swift,Big Machine Records
22,Taylor Swift,Universal Music
It Goes Like This,Thomas Rhett,The Valory Music Co.
Scream and Shout,will.i.am and Britney Spears,?
The Fox,Ylvis,Parlophone
Clarity,Zedd feat. Foxes,Interscope Records
Amnesia,5 Seconds Of Summer,Capitol Records
Say Something,A Great Big World and Christina Aguilera,?
The Man,Aloe Blacc,Polydor
Best Day Of My Life,American Authors,Mercury
Problem,Ariana Grande feat. Iggy Azalea,Not On Label
Break Free,Ariana Grande feat. Zedd,Universal
Hey Brother,Avicii,PRMD
Pompeii,Bastille,Virgin
Shower,Becky G,Kemosabe Records
Partition,Beyonce,?
Drunk In Love,Beyonce feat. Jay Z,?
Hot Boy,Bobby Shmurda,?
Bottoms Up,Brantley Gilbert,?
Summer,Calvin Harris,Deconstruction
Boom Clap,Charli XCX,Warner Music Japan
New Flame,Chris Brown feat. Usher and Rick Ross,RCA
Rather Be,Clean Bandit feat. Jess Glynne,Warner Music UK Ltd.
A Sky Full Of Stars,Coldplay,Parlophone
Drunk On A Plane,Dierks Bentley,?
Latch,Disclosure feat. Sam Smith,Universal Music
Turn Down For What,DJ Snake and Lil Jon,?
0 To 100/The Catch Up,Drake,Cash Money Records
Cool Kids,Echosmith,Warner Bros. Records
Don't,Ed Sheeran,Asylum Records
Sing,Ed Sheeran,Atlantic
Burn,Ellie Goulding,Universal Music
The Monster,Eminem feat. Rihanna,Interscope Records
Bailando,Enrique Iglesias feat. Descemer Bueno and Gente De Zona,Universal Music Group
Dirt,Florida Georgia Line,Republic Nashville
This Is How We Roll,Florida Georgia Line feat. Luke Bryan,Republic Nashville
Let It Go,Idina Menzel,Walt Disney Records
Fancy,Iggy Azalea feat. Charli XCX,Virgin EMI Records
Black Widow,Iggy Azalea feat. Rita Ora,Def Jam Recordings
Beachin',Jake Owen,?
Burnin' It Down,Jason Aldean,Not On Label (Rick Tedesco (2) Self-released)
Trumpets,Jason Derulo,Beluga Heights
Talk Dirty,Jason Derulo feat. 2 Chainz,Warner Bros. Records
Wiggle,Jason Derulo feat. Snoop Dogg,Not On Label (Jason Derulo)
